Taxon;Vials;Specimens;CollID;TrapID
Acarthophthalmidae ;1;12;284;51
Acroceridae;0;0;284;51
Agromyzidae;1;3;284;51
Anthomyiidae;2;91;284;51
Anthomyzidae;0;0;284;51
Asilidae;0;0;284;51
Asteiidae;0;0;284;51
Athericidae;0;0;284;51
Aulacigasteridae;0;0;284;51
Bombyliidae;0;0;284;51
Brachystomatidae;0;0;284;51
Braulidae;0;0;284;51
Calliphoridae;1;1;284;51
Camillidae;0;0;284;51
Campichoetidae;0;0;284;51
Carnidae;0;0;284;51
Chamaemyiidae;0;0;284;51
Chiropteromyzidae;0;0;284;51
Chloropidae;1;4;284;51
Chyromyidae;0;0;284;51
Clusiidae;0;0;284;51
Coelopidae;0;0;284;51
Coenomyiidae;0;0;284;51
Conopidae;0;0;284;51
Diastatidae;0;0;284;51
Dolichopodidae;1;17;284;51
Drosophilidae;1;6;284;51
Dryomyzidae;0;0;284;51
Empidoidea;1;94;284;51
Ephydridae;0;0;284;51
Fanniidae;1;21;284;51
Gasterophilidae;0;0;284;51
Helcomyzidae;0;0;284;51
Heleomyzidae;1;8;284;51
Heterocheilidae;0;0;284;51
Hippoboscidae;0;0;284;51
Hypodermatidae;0;0;284;51
Lauxaniidae;0;0;284;51
Lonchaeidae;1;1;284;51
Lonchopteridae;0;0;284;51
Megamerinidae;0;0;284;51
Micropezidae;0;0;284;51
Milichiidae;0;0;284;51
Muscidae;4;154;284;51
Nycteribiidae;0;0;284;51
Odiniidae;1;1;284;51
Oestridae;0;0;284;51
Opetiidae;0;0;284;51
Opomyzidae;0;0;284;51
Pallopteridae;1;5;284;51
Periscelididae;0;0;284;51
Phaeomyiidae;0;0;284;51
Phoridae;0;0;284;51
Piophilidae;1;8;284;51
Pipunculidae;1;11;284;51
Platypezidae;0;0;284;51
Platystomatidae;0;0;284;51
Pseudopomyzidae;1;1;284;51
Psilidae;1;1;284;51
Rhagionidae;1;9;284;51
Rhinophoridae;0;0;284;51
Sarcophagidae;1;5;284;51
Scathophagidae;1;12;284;51
Scenopinidae;0;0;284;51
Sciomyzidae;1;4;284;51
Sepsidae;1;26;284;51
Sphaeroceridae;1;8;284;51
Stenomicridae;0;0;284;51
Stratiomyidae;1;1;284;51
Strongylophthalmyiidae;0;0;284;51
Syrphidae;1;23;284;51
Tabanidae;0;0;284;51
Tachinidae;0;0;284;51
Tanypezidae;0;0;284;51
Tephritidae;0;0;284;51
Tethinidae;0;0;284;51
Therevidae;0;0;284;51
Trixoscelididae;0;0;284;51
Ulidiidae;1;1;284;51
Xylomyidae;0;0;284;51
Xylophagidae;0;0;284;51
Acarthophthalmidae ;0;0;728;51
Acroceridae;0;0;728;51
Agromyzidae;0;0;728;51
Anthomyiidae;1;1;728;51
Anthomyzidae;0;0;728;51
Asilidae;0;0;728;51
Asteiidae;0;0;728;51
Athericidae;0;0;728;51
Aulacigasteridae;0;0;728;51
Bombyliidae;0;0;728;51
Brachystomatidae;0;0;728;51
Braulidae;0;0;728;51
Calliphoridae;1;1;728;51
Camillidae;0;0;728;51
Campichoetidae;0;0;728;51
Carnidae;0;0;728;51
Chamaemyiidae;0;0;728;51
Chiropteromyzidae;0;0;728;51
Chloropidae;1;1;728;51
Chyromyidae;0;0;728;51
Clusiidae;0;0;728;51
Coelopidae;0;0;728;51
Coenomyiidae;0;0;728;51
Conopidae;0;0;728;51
Diastatidae;0;0;728;51
Dolichopodidae;0;0;728;51
Drosophilidae;0;0;728;51
Dryomyzidae;0;0;728;51
Empidoidea;1;3;728;51
Ephydridae;0;0;728;51
Fanniidae;0;0;728;51
Gasterophilidae;0;0;728;51
Helcomyzidae;0;0;728;51
Heleomyzidae;0;0;728;51
Heterocheilidae;0;0;728;51
Hippoboscidae;0;0;728;51
Hypodermatidae;0;0;728;51
Lauxaniidae;0;0;728;51
Lonchaeidae;0;0;728;51
Lonchopteridae;0;0;728;51
Megamerinidae;0;0;728;51
Micropezidae;0;0;728;51
