Taxon;Vials;Specimens;CollID;TrapID
Apoidea;3;22;1946;46
Aulacidae;0;0;1946;46
Bethylidae ;0;0;1946;46
Braconidae;1;525;1946;46
Ceraphronidae ;1;11;1946;46
Chalcidoidea;1;150;1946;46
Chrysididae;0;0;1946;46
Cynipidae;0;0;1946;46
Cynipoidea;0;0;1946;46
Diapriidae: Belytinae;1;665;1946;46
Diapriidae: Diapriinae;1;29;1946;46
Dryinidae;1;6;1946;46
Embolemidae;0;0;1946;46
Eumeninae;0;0;1946;46
Evaniidae;0;0;1946;46
Figitidae;1;4;1946;46
"Figitidae; Charipinae";1;8;1946;46
Formicidae;0;0;1946;46
Gasteruptiidae;0;0;1946;46
Heloridae;0;0;1946;46
Ichneumonidae;1;1249;1946;46
Ismaridae;0;0;1946;46
Megaspilidae;1;34;1946;46
Mutillidae;0;0;1946;46
Mymariforma;0;0;1946;46
Platygastridae;1;256;1946;46
Platygastridae;0;0;1946;46
Platygastridae: Scelioninae;1;31;1946;46
Pompilidae;0;0;1946;46
Proctotrupidae;1;49;1946;46
Sphecidae s. l.;0;0;1946;46
Symphyta: Tenthredinidae;1;16;1946;46
Symphyta: Övrigt;0;0;1946;46
Tiphiidae;0;0;1946;46
Vanhorniidae;0;0;1946;46
Vespidae;1;4;1946;46
Apoidea;0;0;1211;48
Aulacidae;0;0;1211;48
Bethylidae ;0;0;1211;48
Braconidae;1;97;1211;48
Ceraphronidae ;1;23;1211;48
Chalcidoidea;1;87;1211;48
Chrysididae;0;0;1211;48
Cynipidae;0;0;1211;48
Cynipoidea;0;0;1211;48
Diapriidae: Belytinae;1;616;1211;48
Diapriidae: Diapriinae;1;5;1211;48
Dryinidae;0;0;1211;48
Embolemidae;0;0;1211;48
Eumeninae;0;0;1211;48
Evaniidae;0;0;1211;48
Figitidae;1;8;1211;48
"Figitidae; Charipinae";1;3;1211;48
Formicidae;1;21;1211;48
Gasteruptiidae;0;0;1211;48
Heloridae;0;0;1211;48
Ichneumonidae;1;682;1211;48
Ismaridae;0;0;1211;48
Megaspilidae;1;31;1211;48
Mutillidae;0;0;1211;48
Mymariforma;0;0;1211;48
Platygastridae;1;8;1211;48
Platygastridae;0;0;1211;48
Platygastridae: Scelioninae;1;298;1211;48
Pompilidae;0;0;1211;48
Proctotrupidae;1;19;1211;48
Sphecidae s. l.;0;0;1211;48
Symphyta: Tenthredinidae;0;0;1211;48
Symphyta: Övrigt;0;0;1211;48
Tiphiidae;0;0;1211;48
Vanhorniidae;0;0;1211;48
Vespidae;0;0;1211;48
Apoidea;1;2;691;46
Aulacidae;0;0;691;46
Bethylidae ;0;0;691;46
Braconidae;1;13;691;46
Ceraphronidae ;1;2;691;46
Chalcidoidea;1;16;691;46
Chrysididae;0;0;691;46
Cynipidae;0;0;691;46
Cynipoidea;0;0;691;46
Diapriidae: Belytinae;1;14;691;46
Diapriidae: Diapriinae;0;0;691;46
Dryinidae;0;0;691;46
Embolemidae;0;0;691;46
Eumeninae;0;0;691;46
Evaniidae;0;0;691;46
Figitidae;0;0;691;46
"Figitidae; Charipinae";0;0;691;46
Formicidae;1;4;691;46
Gasteruptiidae;0;0;691;46
Heloridae;0;0;691;46
Ichneumonidae;1;21;691;46
Ismaridae;0;0;691;46
Megaspilidae;1;1;691;46
Mutillidae;0;0;691;46
Mymariforma;0;0;691;46
Platygastridae;1;4;691;46
Platygastridae;0;0;691;46
Platygastridae: Scelioninae;0;0;691;46
Pompilidae;0;0;691;46
Proctotrupidae;1;1;691;46
Sphecidae s. l.;0;0;691;46
Symphyta: Tenthredinidae;1;8;691;46
Symphyta: Övrigt;0;0;691;46
Tiphiidae;0;0;691;46
Vanhorniidae;0;0;691;46
Vespidae;0;0;691;46
Apoidea;1;9;1705;27
Aulacidae;0;0;1705;27
Bethylidae ;0;0;1705;27
Braconidae;1;167;1705;27
Ceraphronidae ;1;4;1705;27
Chalcidoidea;1;223;1705;27
Chrysididae;1;5;1705;27
Cynipidae;0;0;1705;27
Cynipoidea;0;0;1705;27
Diapriidae: Belytinae;1;114;1705;27
Diapriidae: Diapriinae;1;16;1705;27
Dryinidae;1;1;1705;27
Embolemidae;0;0;1705;27
Eumeninae;0;0;1705;27
