Taxon;Vials;Specimens;CollID;TrapID
Anisopodidae;0;0;1946;46
Bibionidae;1;23;1946;46
Bolitophilidae;1;1;1946;46
Canthyloscelidae;0;0;1946;46
Cecidomyiidae;2;1657;1946;46
Ceratopogonidae;1;103;1946;46
Chaoboridae;0;0;1946;46
Chironomidae;2;972;1946;46
Culicidae;1;14;1946;46
Cylindrotomidae;1;3;1946;46
Diadocidiidae;1;4;1946;46
Ditomyiidae;0;0;1946;46
Dixidae;0;0;1946;46
Keroplatidae;1;4;1946;46
Limoniidae;1;26;1946;46
Mycetobiidae;0;0;1946;46
Mycetophilidae;1;453;1946;46
Pachyneuridae;0;0;1946;46
Pediciidae;1;1;1946;46
Psychodidae;1;162;1946;46
Ptychopteridae;0;0;1946;46
Scatopsidae;1;2;1946;46
Sciaridae;2;272;1946;46
Simuliidae;1;113;1946;46
Synnereuridae;0;0;1946;46
Thaumaleidae;0;0;1946;46
Tipulidae;1;3;1946;46
Trichoceridae;0;0;1946;46
Anisopodidae;1;2;567;36
Bibionidae;1;16;567;36
Bolitophilidae;0;0;567;36
Canthyloscelidae;0;0;567;36
Cecidomyiidae;1;290;567;36
Ceratopogonidae;1;9;567;36
Chaoboridae;0;0;567;36
Chironomidae;2;2227;567;36
Culicidae;1;1;567;36
Cylindrotomidae;0;0;567;36
Diadocidiidae;1;1;567;36
Ditomyiidae;0;0;567;36
Dixidae;0;0;567;36
Keroplatidae;0;0;567;36
Limoniidae;0;0;567;36
Mycetobiidae;0;0;567;36
Mycetophilidae;1;188;567;36
Pachyneuridae;0;0;567;36
Pediciidae;0;0;567;36
Psychodidae;1;4;567;36
Ptychopteridae;0;0;567;36
Scatopsidae;0;0;567;36
Sciaridae;1;785;567;36
Simuliidae;0;0;567;36
Synnereuridae;0;0;567;36
Thaumaleidae;0;0;567;36
Tipulidae;0;0;567;36
Trichoceridae;0;0;567;36
Anisopodidae;1;1;1593;7
Bibionidae;0;0;1593;7
Bolitophilidae;1;6;1593;7
Canthyloscelidae;0;0;1593;7
Cecidomyiidae;1;4192;1593;7
Ceratopogonidae;1;170;1593;7
Chaoboridae;1;1;1593;7
Chironomidae;1;3766;1593;7
Culicidae;1;11;1593;7
Cylindrotomidae;0;0;1593;7
Diadocidiidae;1;4;1593;7
Ditomyiidae;0;0;1593;7
Dixidae;1;1;1593;7
Keroplatidae;1;65;1593;7
Limoniidae;1;27;1593;7
Mycetobiidae;0;0;1593;7
Mycetophilidae;1;528;1593;7
Pachyneuridae;0;0;1593;7
Pediciidae;0;0;1593;7
Psychodidae;1;267;1593;7
Ptychopteridae;0;0;1593;7
Scatopsidae;1;16;1593;7
Sciaridae;1;5;1593;7
Simuliidae;1;1;1593;7
Synnereuridae;0;0;1593;7
Thaumaleidae;0;0;1593;7
Tipulidae;1;14;1593;7
Trichoceridae;0;0;1593;7
Anisopodidae;0;0;1286;59
Bibionidae;1;15;1286;59
Bolitophilidae;0;0;1286;59
Canthyloscelidae;0;0;1286;59
Cecidomyiidae;1;466;1286;59
Ceratopogonidae;1;674;1286;59
Chaoboridae;0;0;1286;59
Chironomidae;1;9882;1286;59
Culicidae;0;0;1286;59
Cylindrotomidae;1;5;1286;59
Diadocidiidae;0;0;1286;59
Ditomyiidae;0;0;1286;59
Dixidae;0;0;1286;59
Keroplatidae;1;1;1286;59
Limoniidae;1;42;1286;59
Mycetobiidae;0;0;1286;59
Mycetophilidae;1;2177;1286;59
Pachyneuridae;0;0;1286;59
Pediciidae;0;0;1286;59
Psychodidae;1;7;1286;59
Ptychopteridae;0;0;1286;59
Scatopsidae;0;0;1286;59
Sciaridae;1;420;1286;59
Simuliidae;1;4;1286;59
Synnereuridae;0;0;1286;59
Thaumaleidae;0;0;1286;59
Tipulidae;1;14;1286;59
Trichoceridae;0;0;1286;59
Anisopodidae;1;26;932;14
Bibionidae;0;0;932;14
Bolitophilidae;1;1;932;14
Canthyloscelidae;0;0;932;14
Cecidomyiidae;1;636;932;14
Ceratopogonidae;1;17;932;14
Chaoboridae;0;0;932;14
Chironomidae;1;485;932;14
Culicidae;0;0;932;14
Cylindrotomidae;1;4;932;14
Diadocidiidae;1;2;932;14
Ditomyiidae;0;0;932;14
Dixidae;0;0;932;14
Keroplatidae;0;0;932;14
Limoniidae;1;8;932;14
Mycetobiidae;0;0;932;14
Mycetophilidae;2;501;932;14
Pachyneuridae;0;0;932;14
Pediciidae;0;0;932;14
Psychodidae;1;480;932;14
Ptychopteridae;0;0;932;14
Scatopsidae;0;0;932;14
Sciaridae;1;526;932;14
Simuliidae;0;0;932;14
Synnereuridae;0;0;932;14
Thaumaleidae;0;0;932;14
Tipulidae;1;1;932;14
Trichoceridae;0;0;932;14
Anisopodidae;1;10;2112;39
Bibionidae;0;0;2112;39
Bolitophilidae;1;3;2112;39
Canthyloscelidae;0;0;2112;39
Cecidomyiidae;1;5;2112;39
Ceratopogonidae;1;4;2112;39
Chaoboridae;0;0;2112;39
Chironomidae;1;740;2112;39
Culicidae;1;1;2112;39
Cylindrotomidae;1;2;2112;39
Diadocidiidae;0;0;2112;39
Ditomyiidae;0;0;2112;39
Dixidae;0;0;2112;39
Keroplatidae;0;0;2112;39
Limoniidae;1;4;2112;39
Mycetobiidae;0;0;2112;39
Mycetophilidae;4;1772;2112;39
Pachyneuridae;0;0;2112;39
Pediciidae;0;0;2112;39
Psychodidae;1;29;2112;39
Ptychopteridae;0;0;2112;39
Scatopsidae;0;0;2112;39
Sciaridae;1;123;2112;39
Simuliidae;0;0;2112;39
Synnereuridae;0;0;2112;39
Thaumaleidae;0;0;2112;39
Tipulidae;1;1;2112;39
Trichoceridae;1;12;2112;39
Anisopodidae;0;0;1081;33
