Taxon;Vials;Specimens;CollID;TrapID
Acari ;3;240;284;51
Annelida;0;0;284;51
Araneae;1;12;284;51
Auchenorrhyncha;1;89;284;51
Blattodea;1;4;284;51
Brachycera (excl. Phoridae);11;528;284;51
Coleoptera;1;46;284;51
Collembola;1;119;284;51
Dermaptera;0;0;284;51
Ephemeroptera;0;0;284;51
Heteroptera;1;37;284;51
Hymenoptera;6;1061;284;51
Isopoda;0;0;284;51
Lepidoptera;1;327;284;51
Mecoptera;0;0;284;51
Megaloptera;0;0;284;51
Mollusca;0;0;284;51
Myriapoda;0;0;284;51
Nematocera;12;818;284;51
Neuroptera;1;3;284;51
Odonata;0;0;284;51
Opiliones;3;13;284;51
Orthoptera;0;0;284;51
Phoridae;1;399;284;51
Phthiraptera;0;0;284;51
Plecoptera;0;0;284;51
Pseudoscorpionida;0;0;284;51
Psocoptera;1;88;284;51
Raphidioptera;0;0;284;51
Siphonaptera;1;1;284;51
Sternorrhyncha;1;113;284;51
Strepsiptera;0;0;284;51
Thysanoptera;0;0;284;51
Trichoptera;0;0;284;51
Acari ;1;146;728;51
Annelida;0;0;728;51
Araneae;1;11;728;51
Auchenorrhyncha;1;54;728;51
Blattodea;0;0;728;51
Brachycera (excl. Phoridae);1;46;728;51
Coleoptera;1;13;728;51
Collembola;1;100;728;51
Dermaptera;0;0;728;51
Ephemeroptera;0;0;728;51
Heteroptera;1;1;728;51
Hymenoptera;4;233;728;51
Isopoda;0;0;728;51
Lepidoptera;1;5;728;51
Mecoptera;0;0;728;51
Megaloptera;0;0;728;51
Mollusca;0;0;728;51
Myriapoda;0;0;728;51
Nematocera;1;694;728;51
Neuroptera;1;2;728;51
Odonata;0;0;728;51
Opiliones;0;0;728;51
Orthoptera;0;0;728;51
Phoridae;1;310;728;51
Phthiraptera;0;0;728;51
Plecoptera;0;0;728;51
Pseudoscorpionida;0;0;728;51
Psocoptera;1;1;728;51
Raphidioptera;0;0;728;51
Siphonaptera;0;0;728;51
Sternorrhyncha;1;4;728;51
Strepsiptera;0;0;728;51
Thysanoptera;1;2;728;51
Trichoptera;0;0;728;51
Acari ;1;51;932;14
Annelida;0;0;932;14
Araneae;1;61;932;14
Auchenorrhyncha;1;103;932;14
Blattodea;0;0;932;14
Brachycera (excl. Phoridae);4;265;932;14
Coleoptera;1;54;932;14
Collembola;1;168;932;14
Dermaptera;1;5;932;14
Ephemeroptera;0;0;932;14
Heteroptera;1;34;932;14
Hymenoptera;3;746;932;14
Isopoda;0;0;932;14
Lepidoptera;1;14;932;14
Mecoptera;0;0;932;14
Megaloptera;0;0;932;14
Mollusca;0;0;932;14
Myriapoda;0;0;932;14
Nematocera;4;2687;932;14
Neuroptera;1;1;932;14
Odonata;0;0;932;14
Opiliones;1;12;932;14
Orthoptera;0;0;932;14
Phoridae;1;411;932;14
Phthiraptera;0;0;932;14
Plecoptera;0;0;932;14
Pseudoscorpionida;0;0;932;14
Psocoptera;1;30;932;14
Raphidioptera;0;0;932;14
Siphonaptera;0;0;932;14
Sternorrhyncha;1;38;932;14
Strepsiptera;0;0;932;14
Thysanoptera;1;1;932;14
Trichoptera;1;3;932;14
Acari ;3;223;1079;33
Annelida;0;0;1079;33
Araneae;1;33;1079;33
Auchenorrhyncha;1;47;1079;33
Blattodea;0;0;1079;33
Brachycera (excl. Phoridae);3;160;1079;33
Coleoptera;2;206;1079;33
Collembola;1;236;1079;33
Dermaptera;0;0;1079;33
Ephemeroptera;0;0;1079;33
Heteroptera;1;23;1079;33
Hymenoptera;10;668;1079;33
Isopoda;0;0;1079;33
Lepidoptera;1;195;1079;33
Mecoptera;0;0;1079;33
Megaloptera;0;0;1079;33
Mollusca;0;0;1079;33
Myriapoda;0;0;1079;33
Nematocera;5;2269;1079;33
Neuroptera;1;1;1079;33
Odonata;0;0;1079;33
Opiliones;1;5;1079;33
Orthoptera;1;4;1079;33
Phoridae;1;372;1079;33
Phthiraptera;0;0;1079;33
Plecoptera;0;0;1079;33
Pseudoscorpionida;1;2;1079;33
Psocoptera;1;59;1079;33
Raphidioptera;0;0;1079;33
Siphonaptera;0;0;1079;33
Sternorrhyncha;1;13;1079;33
Strepsiptera;0;0;1079;33
Thysanoptera;1;4;1079;33
Trichoptera;1;1;1079;33
Acari ;1;223;1081;33
Annelida;0;0;1081;33
Araneae;1;17;1081;33
Auchenorrhyncha;1;21;1081;33
Blattodea;0;0;1081;33
Brachycera (excl. Phoridae);7;264;1081;33
Coleoptera;3;110;1081;33
Collembola;1;272;1081;33
Dermaptera;0;0;1081;33
Ephemeroptera;0;0;1081;33
Heteroptera;1;7;1081;33
Hymenoptera;14;801;1081;33
Isopoda;1;6;1081;33
Lepidoptera;1;130;1081;33
Mecoptera;0;0;1081;33
Megaloptera;0;0;1081;33
Mollusca;0;0;1081;33
Myriapoda;1;1;1081;33
Nematocera;6;3882;1081;33
Neuroptera;1;2;1081;33
Odonata;0;0;1081;33
Opiliones;1;1;1081;33
Orthoptera;1;2;1081;33
Phoridae;1;432;1081;33
Phthiraptera;0;0;1081;33
Plecoptera;0;0;1081;33
Pseudoscorpionida;1;1;1081;33
Psocoptera;1;8;1081;33
Raphidioptera;0;0;1081;33
Siphonaptera;0;0;1081;33
Sternorrhyncha;1;4;1081;33
Strepsiptera;0;0;1081;33
Thysanoptera;0;0;1081;33
Trichoptera;0;0;1081;33
Acari ;1;121;1286;59
Annelida;0;0;1286;59
Araneae;1;18;1286;59
Auchenorrhyncha;1;214;1286;59
Blattodea;1;1;1286;59
Brachycera (excl. Phoridae);9;579;1286;59
Coleoptera;1;305;1286;59
Collembola;1;188;1286;59
Dermaptera;0;0;1286;59
Ephemeroptera;0;0;1286;59
Heteroptera;1;17;1286;59
Hymenoptera;7;1015;1286;59
Isopoda;0;0;1286;59
Lepidoptera;1;128;1286;59
Mecoptera;0;0;1286;59
Megaloptera;0;0;1286;59
Mollusca;0;0;1286;59
Myriapoda;0;0;1286;59
Nematocera;11;13707;1286;59
Neuroptera;1;5;1286;59
Odonata;0;0;1286;59
Opiliones;1;5;1286;59
Orthoptera;0;0;1286;59
Phoridae;1;573;1286;59
Phthiraptera;0;0;1286;59
Plecoptera;1;4;1286;59
Pseudoscorpionida;0;0;1286;59
Psocoptera;1;4;1286;59
Raphidioptera;1;3;1286;59
Siphonaptera;0;0;1286;59
Sternorrhyncha;1;6;1286;59
Strepsiptera;0;0;1286;59
Thysanoptera;1;60;1286;59
Trichoptera;1;2;1286;59
Acari ;3;464;1300;61
Annelida;0;0;1300;61
Araneae;1;22;1300;61
Auchenorrhyncha;1;0;1300;61
Blattodea;1;1;1300;61
Brachycera (excl. Phoridae);2;59;1300;61
Coleoptera;1;39;1300;61
Collembola;1;16;1300;61
Dermaptera;0;0;1300;61
Ephemeroptera;0;0;1300;61
Heteroptera;1;1;1300;61
Hymenoptera;3;573;1300;61
Isopoda;0;0;1300;61
Lepidoptera;1;22;1300;61
Mecoptera;0;0;1300;61
Megaloptera;0;0;1300;61
Mollusca;0;0;1300;61
Myriapoda;0;0;1300;61
Nematocera;31;6269;1300;61
Neuroptera;1;1;1300;61
Odonata;0;0;1300;61
Opiliones;0;0;1300;61
Orthoptera;0;0;1300;61
Phoridae;1;122;1300;61
Phthiraptera;0;0;1300;61
Plecoptera;1;2;1300;61
Pseudoscorpionida;0;0;1300;61
Psocoptera;1;4;1300;61
Raphidioptera;1;1;1300;61
Siphonaptera;0;0;1300;61
Sternorrhyncha;1;19;1300;61
Strepsiptera;0;0;1300;61
Thysanoptera;1;57;1300;61
Trichoptera;0;0;1300;61
Acari ;1;154;1328;1001
Annelida;0;0;1328;1001
Araneae;1;35;1328;1001
Auchenorrhyncha;1;68;1328;1001
Blattodea;1;1;1328;1001
Brachycera (excl. Phoridae);19;2854;1328;1001
Coleoptera;3;2260;1328;1001
Collembola;1;16;1328;1001
Dermaptera;0;0;1328;1001
Ephemeroptera;1;1;1328;1001
Heteroptera;1;17;1328;1001
Hymenoptera;18;2506;1328;1001
Isopoda;0;0;1328;1001
Lepidoptera;1;166;1328;1001
Mecoptera;1;2;1328;1001
Megaloptera;0;0;1328;1001
Mollusca;0;0;1328;1001
Myriapoda;0;0;1328;1001
Nematocera;28;16959;1328;1001
Neuroptera;1;5;1328;1001
Odonata;0;0;1328;1001
Opiliones;0;0;1328;1001
Orthoptera;0;0;1328;1001
Phoridae;2;2069;1328;1001
Phthiraptera;0;0;1328;1001
Plecoptera;1;19;1328;1001
Pseudoscorpionida;0;0;1328;1001
Psocoptera;1;1;1328;1001
Raphidioptera;0;0;1328;1001
Siphonaptera;0;0;1328;1001
Sternorrhyncha;1;58;1328;1001
Strepsiptera;0;0;1328;1001
Thysanoptera;1;14;1328;1001
Trichoptera;1;1;1328;1001
Acari ;4;1058;1329;1001
Annelida;0;0;1329;1001
Araneae;1;14;1329;1001
Auchenorrhyncha;1;83;1329;1001
Blattodea;0;0;1329;1001
Brachycera (excl. Phoridae);20;1760;1329;1001
Coleoptera;3;442;1329;1001
Collembola;1;12;1329;1001
Dermaptera;0;0;1329;1001
Ephemeroptera;1;8;1329;1001
Heteroptera;1;13;1329;1001
Hymenoptera;30;2543;1329;1001
Isopoda;0;0;1329;1001
Lepidoptera;1;246;1329;1001
Mecoptera;1;4;1329;1001
Megaloptera;0;0;1329;1001
Mollusca;0;0;1329;1001
Myriapoda;0;0;1329;1001
Nematocera;13;11683;1329;1001
Neuroptera;1;8;1329;1001
Odonata;0;0;1329;1001
Opiliones;1;1;1329;1001
Orthoptera;0;0;1329;1001
Phoridae;1;1865;1329;1001
Phthiraptera;0;0;1329;1001
Plecoptera;1;7;1329;1001
Pseudoscorpionida;0;0;1329;1001
Psocoptera;0;0;1329;1001
Raphidioptera;0;0;1329;1001
Siphonaptera;0;0;1329;1001
Sternorrhyncha;1;47;1329;1001
Strepsiptera;0;0;1329;1001
Thysanoptera;1;32;1329;1001
Trichoptera;2;11;1329;1001
Acari ;1;503;1420;1005
Annelida;0;0;1420;1005
Araneae;1;56;1420;1005
Auchenorrhyncha;1;68;1420;1005
Blattodea;1;6;1420;1005
Brachycera (excl. Phoridae);34;3852;1420;1005
Coleoptera;7;933;1420;1005
Collembola;1;85;1420;1005
Dermaptera;0;0;1420;1005
Ephemeroptera;0;0;1420;1005
Heteroptera;1;55;1420;1005
Hymenoptera;14;2868;1420;1005
Isopoda;1;5;1420;1005
Lepidoptera;1;440;1420;1005
Mecoptera;0;0;1420;1005
Megaloptera;0;0;1420;1005
Mollusca;0;0;1420;1005
Myriapoda;1;4;1420;1005
Nematocera;7;6159;1420;1005
Neuroptera;1;3;1420;1005
Odonata;0;0;1420;1005
Opiliones;1;2;1420;1005
Orthoptera;1;4;1420;1005
Phoridae;4;3354;1420;1005
Phthiraptera;0;0;1420;1005
Plecoptera;0;0;1420;1005
Pseudoscorpionida;0;0;1420;1005
Psocoptera;1;5;1420;1005
Raphidioptera;0;0;1420;1005
Siphonaptera;0;0;1420;1005
Sternorrhyncha;1;771;1420;1005
Strepsiptera;0;0;1420;1005
Thysanoptera;1;9;1420;1005
Trichoptera;1;13;1420;1005
Acari ;2;783;1593;7
Annelida;0;0;1593;7
Araneae;1;22;1593;7
Auchenorrhyncha;1;104;1593;7
Blattodea;1;1;1593;7
Brachycera (excl. Phoridae);31;2096;1593;7
Coleoptera;1;105;1593;7
Collembola;1;292;1593;7
Dermaptera;0;0;1593;7
Ephemeroptera;0;0;1593;7
Heteroptera;1;15;1593;7
Hymenoptera;23;3366;1593;7
Isopoda;0;0;1593;7
Lepidoptera;1;295;1593;7
Mecoptera;1;5;1593;7
Megaloptera;0;0;1593;7
Mollusca;0;0;1593;7
Myriapoda;0;0;1593;7
Nematocera;9;9075;1593;7
Neuroptera;1;12;1593;7
Odonata;1;1;1593;7
Opiliones;0;0;1593;7
Orthoptera;0;0;1593;7
Phoridae;8;5907;1593;7
Phthiraptera;0;0;1593;7
Plecoptera;0;0;1593;7
Pseudoscorpionida;0;0;1593;7
Psocoptera;0;0;1593;7
Raphidioptera;0;0;1593;7
Siphonaptera;0;0;1593;7
Sternorrhyncha;1;178;1593;7
Strepsiptera;1;1;1593;7
Thysanoptera;1;4;1593;7
Trichoptera;2;147;1593;7
Acari ;1;39;1760;33
Annelida;0;0;1760;33
Araneae;0;0;1760;33
Auchenorrhyncha;0;0;1760;33
Blattodea;0;0;1760;33
Brachycera (excl. Phoridae);0;0;1760;33
Coleoptera;1;1;1760;33
Collembola;1;11;1760;33
Dermaptera;0;0;1760;33
Ephemeroptera;0;0;1760;33
Heteroptera;0;0;1760;33
Hymenoptera;1;6;1760;33
Isopoda;0;0;1760;33
Lepidoptera;0;0;1760;33
Mecoptera;0;0;1760;33
Megaloptera;0;0;1760;33
Mollusca;0;0;1760;33
Myriapoda;0;0;1760;33
Nematocera;1;76;1760;33
Neuroptera;0;0;1760;33
Odonata;0;0;1760;33
Opiliones;1;1;1760;33
Orthoptera;0;0;1760;33
Phoridae;0;0;1760;33
Phthiraptera;0;0;1760;33
Plecoptera;0;0;1760;33
Pseudoscorpionida;0;0;1760;33
Psocoptera;0;0;1760;33
Raphidioptera;0;0;1760;33
Siphonaptera;0;0;1760;33
Sternorrhyncha;0;0;1760;33
Strepsiptera;0;0;1760;33
Thysanoptera;0;0;1760;33
Trichoptera;0;0;1760;33
Acari ;1;49;2096;2
Annelida;0;0;2096;2
Araneae;1;23;2096;2
Auchenorrhyncha;1;5;2096;2
Blattodea;0;0;2096;2
Brachycera (excl. Phoridae);7;185;2096;2
Coleoptera;1;66;2096;2
Collembola;1;94;2096;2
Dermaptera;0;0;2096;2
Ephemeroptera;0;0;2096;2
Heteroptera;1;7;2096;2
